"epic_id","epic_title","story_id","story_title","description","acceptance_criteria","priority","complexity","phase","labels","dependencies"
"epic-search-relevance","Search Relevance Improvement","story-anon-relevance-fix","Remediate Search Relevance for Anonymous Users","Address the 15% drop in search relevance scores for anonymous users caused by the new ranking algorithm in v2.4.1.","GIVEN the new ranking algorithm is deployed WHEN an anonymous user performs a search THEN the search relevance score should be >= 0.80.","P0","complex","MVP","search, relevance, algorithm",""
"epic-autocomplete","Autocomplete Functionality","story-fix-autocomplete-cache","Fix Stale Autocomplete Suggestions","Adjust the cache TTL for autocomplete suggestions to ensure users receive up-to-date suggestions.","GIVEN the cache TTL is set to 24 hours WHEN a user requests autocomplete suggestions THEN suggestions should reflect current product availability.","P2","simple","MVP","autocomplete, cache, user experience",""
"epic-search-relevance","Search Relevance Improvement","story-reduce-support-tickets","Reduce Support Ticket Volume Due to Irrelevant Results","Implement changes to the search algorithm to reduce the volume of support tickets related to irrelevant search results.","GIVEN the search algorithm is improved WHEN users perform searches THEN support ticket volume should decrease by 50% within 4 weeks.","P1","medium","V1","support, search, user feedback","story-anon-relevance-fix"
"epic-mobile-performance","Mobile Search Performance","story-optimize-mobile-latency","Optimize Mobile Search Latency","Profile and optimize the search algorithm to reduce mobile search latency from 890ms to below 500ms.","GIVEN the search algorithm is optimized WHEN a mobile user performs a search THEN the P95 latency should be <= 500ms.","P1","medium","V1","performance, mobile, search","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-instrumentation","Search Feature Instrumentation","story-add-search-analytics","Implement Instrumentation for New Search Features","Add analytics instrumentation for image and voice search features to track their performance and user engagement.","GIVEN the new analytics events are implemented WHEN a user performs an image or voice search THEN the events should be logged correctly in the analytics system.","P1","medium","V1","analytics, search, features","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-monitoring","Search Monitoring","story-monitor-relevance-score","Monitor Search Relevance Score","Implement monitoring for the Search Relevance Score to track changes and identify issues proactively.","GIVEN monitoring is set up WHEN the Search Relevance Score drops by more than 0.05 THEN an alert should be triggered.","P1","medium","V1","monitoring, metrics, search","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-guardrails","Guardrail Metrics","story-monitor-session-abandonment","Establish Guardrail Metrics for Session Abandonment","Define and monitor guardrail metrics for session abandonment rate after search to ensure user satisfaction.","GIVEN guardrail metrics are established WHEN the session abandonment rate exceeds 10% THEN an alert should be triggered.","P1","medium","V1","metrics, guardrails, search","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-image-metrics","Image Search Metrics","story-establish-image-metrics","Establish Baseline Metrics for Image Search","Define and establish baseline metrics for image search to measure performance effectively.","GIVEN the image search is active WHEN data is collected for 30 days THEN baseline metrics should be established for query volume, zero-result rate, and click-through rate.","P2","medium","V1","metrics, image search, performance","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-feedback","User Feedback Mechanism","story-collect-user-feedback","User Feedback Collection on Search Results","Implement a mechanism for collecting user feedback on search results to inform future improvements.","GIVEN the feedback mechanism is implemented WHEN a user provides feedback on search results THEN the feedback should be recorded and categorized.","P2","medium","V1","user feedback, search, improvement","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-ab-testing","A/B Testing for Search Improvements","story-ab-test-search-algorithm","Conduct A/B Testing for Search Algorithm Changes","Run A/B tests on changes made to the search algorithm to evaluate their impact on relevance and user satisfaction.","GIVEN A/B testing is conducted WHEN changes are made to the search algorithm THEN results should show a statistically significant improvement in relevance scores.","P2","medium","V2","A/B testing, search, algorithm","story-reduce-support-tickets, story-optimize-mobile-latency, story-add-search-analytics, story-monitor-relevance-score, story-monitor-session-abandonment, story-establish-image-metrics, story-collect-user-feedback, story-search-latency-increased-on-mobile-web, story-a-b-test-for-new-ranking-algorithm-inconclusive, story-search-autocomplete-suggestions-showing-stale-data"
"epic-search","SEARCH Initiatives","story-search-latency-increased-on-mobile-web","Search latency increased on mobile web","P95 search latency on mobile web has climbed to 890ms, up from a baseline of ~420ms pre-deploy. Desktop is unaffected at 210ms p95. Hypothesis: the new ranking model runs a heavier re-ranking step that is not cached for mobile sessions. No SLO breach yet but trending toward it. Requires profiling and either model optimization or mobile-specific caching.","","P1","medium","V1","performance, mobile, search, latency","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-search","SEARCH Initiatives","story-a-b-test-for-new-ranking-algorithm-inconclusive","A/B test for new ranking algorithm inconclusive","The pre-launch A/B test (experiment ID: EXP-881) ran for 14 days with a 50/50 traffic split. Results were inconclusive: relevance improved +2% for signed-in users but degraded -8% for anonymous users. The test was not powered for the anonymous-user segment separately. Decision was made to ship anyway targeting the signed-in majority. Post-ship data suggests the anonymous segment is larger than estimated at ~40% of queries.","","P2","medium","V1","experimentation, ranking, analytics, ab-test","story-anon-relevance-fix, story-fix-autocomplete-cache"
"epic-search","SEARCH Initiatives","story-search-autocomplete-suggestions-showing-stale-data","Search autocomplete suggestions showing stale data","Autocomplete suggestions are sourced from a cache refreshed every 24 hours. Since v2.4.1 the cache TTL was inadvertently extended to 7 days due to a config change in the deployment pipeline. Users are seeing suggestions for products that are out of stock or promotions that have ended. The stale data is compounding the relevance problem — users click an autocomplete suggestion and land on a zero-result page.","","P2","medium","V1","bug, autocomplete, cache, search","story-anon-relevance-fix, story-fix-autocomplete-cache"
